Date	Province_CN	City_CN	From_Province	From_City	To_Province	To_City	Index
2020-01-06	河南省	开封市	Henan	Kaifeng	Hubei	Wuhan	0.11
2020-01-06	江苏省	泰州市	Jiangsu	Taizhou	Hubei	Wuhan	0.11
2020-01-06	河南省	商丘市	Henan	Shangqiu	Hubei	Wuhan	0.11
2020-01-06	浙江省	湖州市	Zhejiang	Huzhou	Hubei	Wuhan	0.11
2020-01-06	江西省	景德镇市	Jiangxi	Jingdezhen	Hubei	Wuhan	0.1
2020-01-06	江西省	上饶市	Jiangxi	Shangrao	Hubei	Wuhan	0.1
2020-01-06	甘肃省	兰州市	Gansu	Lanzhou	Hubei	Wuhan	0.1
2020-01-06	新疆维吾尔自治区	乌鲁木齐市	Xinjiang	Ürümqi	Hubei	Wuhan	0.1
2020-01-06	江苏省	扬州市	Jiangsu	Yangzhou	Hubei	Wuhan	0.1
2020-01-06	山西省	太原市	Shanxi	Taiyuan	Hubei	Wuhan	0.1
2020-01-06	河南省	平顶山市	Henan	Pingdingshan	Hubei	Wuhan	0.1
2020-01-06	湖南省	益阳市	Hunan	Yiyang	Hubei	Wuhan	0.1
2020-01-06	山东省	菏泽市	Shandong	Heze	Hubei	Wuhan	0.09
2020-01-06	山东省	济宁市	Shandong	Jining	Hubei	Wuhan	0.09
2020-01-06	山东省	潍坊市	Shandong	Weifang	Hubei	Wuhan	0.09
2020-01-07	湖北省	孝感市	Hubei	Xiaogan	Hubei	Wuhan	12.3
2020-01-07	湖北省	黄冈市	Hubei	Huanggang	Hubei	Wuhan	10.22
2020-01-07	湖北省	鄂州市	Hubei	Ezhou	Hubei	Wuhan	6.56
2020-01-07	湖北省	咸宁市	Hubei	Xianning	Hubei	Wuhan	5.57
2020-01-07	湖北省	荆州市	Hubei	Jingzhou	Hubei	Wuhan	5.02
2020-01-07	湖北省	黄石市	Hubei	Huangshi	Hubei	Wuhan	4.23
2020-01-07	湖北省	襄阳市	Hubei	Xiangyang	Hubei	Wuhan	3.46
2020-01-07	湖北省	宜昌市	Hubei	Yichang	Hubei	Wuhan	2.56
