Date	Province_CN	City_CN	From_Province	From_City	To_Province	To_City	Index
2020-01-06	山东省	济宁市	Hubei	Wuhan	Shandong	Jining	0.12
2020-01-06	江西省	抚州市	Hubei	Wuhan	Jiangxi	Fuzhou	0.12
2020-01-06	贵州省	黔东南苗族侗族自治州	Hubei	Wuhan	Guizhousheng	Qiandongnanmiaozudongzuzizhizhou	0.12
2020-01-06	贵州省	黔南布依族苗族自治州	Hubei	Wuhan	Guizhousheng	Qiannanbuyizumiaozuzizhizhou	0.12
2020-01-06	湖南省	娄底市	Hubei	Wuhan	Hunan	Loudi	0.11
2020-01-06	河北省	邢台市	Hubei	Wuhan	Hebei	Xingtai	0.11
2020-01-06	湖南省	邵阳市	Hubei	Wuhan	Hunan	Shaoyang	0.11
2020-01-06	贵州省	毕节市	Hubei	Wuhan	Guizhou	Bijie	0.11
2020-01-06	江西省	吉安市	Hubei	Wuhan	Jiangxi	Ji'an	0.11
2020-01-06	湖南省	怀化市	Hubei	Wuhan	Hunan	Huaihua	0.11
2020-01-06	山东省	菏泽市	Hubei	Wuhan	Shandong	Heze	0.1
2020-01-07	湖北省	黄冈市	Hubei	Wuhan	Hubei	Huanggang	10.81
2020-01-07	湖北省	孝感市	Hubei	Wuhan	Hubei	Xiaogan	10.68
2020-01-07	湖北省	荆州市	Hubei	Wuhan	Hubei	Jingzhou	5.83
2020-01-07	湖北省	咸宁市	Hubei	Wuhan	Hubei	Xianning	4.74
2020-01-07	湖北省	鄂州市	Hubei	Wuhan	Hubei	Ezhou	4.6
2020-01-07	湖北省	襄阳市	Hubei	Wuhan	Hubei	Xiangyang	4.28
2020-01-07	湖北省	黄石市	Hubei	Wuhan	Hubei	Huangshi	3.7
2020-01-07	湖北省	宜昌市	Hubei	Wuhan	Hubei	Yichang	2.89
2020-01-07	湖北省	荆门市	Hubei	Wuhan	Hubei	Jingmen	2.74
2020-01-07	湖北省	随州市	Hubei	Wuhan	Hubei	Suizhou	2.55
2020-01-07	湖北省	仙桃市	Hubei	Wuhan	Hubei	Xiantao	2.31
2020-01-07	湖北省	十堰市	Hubei	Wuhan	Hubei	Shiyan	2.04
2020-01-07	湖北省	恩施土家族苗族自治州	Hubei	Wuhan	Hubeisheng	Enshitujiazumiaozuzizhizhou	2.03
2020-01-07	北京市	北京市	Hubei	Wuhan	Beijing	Beijing	1.94
2020-01-07	湖北省	天门市	Hubei	Wuhan	Hubei	Tianmen	1.59
2020-01-07	湖南省	长沙市	Hubei	Wuhan	Hunan	Changsha	1.58
2020-01-07	上海市	上海市	Hubei	Wuhan	Shanghai	Shanghai	1.3
2020-01-07	重庆市	重庆市	Hubei	Wuhan	Chongqing	Chongqing	1.24
2020-01-07	湖北省	潜江市	Hubei	Wuhan	Hubei	Qianjiang	1.16
2020-01-07	河南省	信阳市	Hubei	Wuhan	Henan	Xinyang	1.09
2020-01-07	广东省	广州市	Hubei	Wuhan	Guangdong	Guangzhou	0.94
2020-01-07	河南省	郑州市	Hubei	Wuhan	Henan	Zhengzhou	0.87
2020-01-07	广东省	深圳市	Hubei	Wuhan	Guangdong	Shenzhen	0.81
2020-01-07	四川省	成都市	Hubei	Wuhan	Sichuan	Chengdu	0.72
2020-01-07	安徽省	合肥市	Hubei	Wuhan	Anhui	Hefei	0.59
2020-01-07	江西省	南昌市	Hubei	Wuhan	Jiangxi	Nanchang	0.58
2020-01-07	河南省	驻马店市	Hubei	Wuhan	Henan	Zhumadian	0.53
2020-01-07	江苏省	南京市	Hubei	Wuhan	Jiangsu	Nanjing	0.52
2020-01-07	江西省	九江市	Hubei	Wuhan	Jiangxi	Jiujiang	0.51
2020-01-07	浙江省	杭州市	Hubei	Wuhan	Zhejiang	Hangzhou	0.48
2020-01-07	河南省	南阳市	Hubei	Wuhan	Henan	Nanyang	0.48
2020-01-07	陕西省	西安市	Hubei	Wuhan	Shaanxi	Xi'an	0.48
2020-01-07	湖南省	岳阳市	Hubei	Wuhan	Hunan	Yueyang	0.47
2020-01-07	云南省	昆明市	Hubei	Wuhan	Yunnan	Kunming	0.38
2020-01-07	江苏省	苏州市	Hubei	Wuhan	Jiangsu	Suzhou	0.37
2020-01-07	贵州省	贵阳市	Hubei	Wuhan	Guizhou	Guiyang	0.34
2020-01-07	安徽省	安庆市	Hubei	Wuhan	Anhui	Anqing	0.32
2020-01-07	河南省	周口市	Hubei	Wuhan	Henan	Zhoukou	0.3
2020-01-07	广西壮族自治区	南宁市	Hubei	Wuhan	Guangxi	Nanning	0.29
2020-01-07	安徽省	阜阳市	Hubei	Wuhan	Anhui	Fuyang	0.29
